Initialization time,0.111382

Iteration;Time since initialization (s);Iteration time (s)
1;0.190154;0.0787718
2;0.239439;0.0492592
3;0.287522;0.0480618
4;0.33815;0.0506108
5;0.392353;0.054184
6;0.443445;0.051065
7;0.491634;0.0481689
8;0.540266;0.0486119
9;0.587135;0.04685
10;0.635625;0.0484519
11;0.71194;0.0762959
12;0.819528;0.107551
13;0.899296;0.0797269
14;0.954481;0.0551419
15;1.00444;0.0499361
16;1.055;0.0505109
17;1.10446;0.0494411
18;1.14982;0.0453219
19;1.19835;0.048517
20;1.24819;0.049818
21;1.29814;0.049937
22;1.34911;0.050946
23;1.40065;0.0514991
24;1.45163;0.0509629
25;1.4986;0.0469539
26;1.54657;0.04795
27;1.59191;0.0452988
28;1.64106;0.0491321
29;1.68632;0.045238
30;1.76774;0.081403
31;1.85906;0.0912659
32;1.9175;0.0584221
33;1.96974;0.0522139
34;2.02398;0.0542259
35;2.07375;0.0497251
36;2.12811;0.054338
37;2.17782;0.049685
38;2.22704;0.049202
39;2.27612;0.0490589
40;2.32402;0.047889
41;2.37312;0.0490479
42;2.42049;0.047344
43;2.47373;0.05323
44;2.52551;0.0517612
45;2.57962;0.054081
46;2.63278;0.053091
47;2.68681;0.054003
48;2.73819;0.051369
49;2.78836;0.0501471
50;2.83989;0.0514922
51;2.89059;0.0506799
52;2.94225;0.051636
53;2.98943;0.047164
54;3.03736;0.0478349
55;3.08452;0.0471458
56;3.13401;0.0494699
57;3.1845;0.0504658
58;3.2315;0.046968
59;3.28221;0.050689
60;3.33205;0.0498209
61;3.38064;0.0485759
62;3.43057;0.049895
63;3.48152;0.0509191
64;3.53163;0.0500989
65;3.58203;0.0503771
66;3.63069;0.0486381
67;3.67967;0.0489671
68;3.75209;0.0723829
69;3.84924;0.09711
70;3.90753;0.0582719
71;3.96983;0.0622809
72;4.02214;0.0522749
73;4.06967;0.047507
74;4.11803;0.048341
75;4.16597;0.0479221
76;4.21501;0.0490241
77;4.26018;0.04515
78;4.30286;0.0426469
79;4.34972;0.046838
80;4.39661;0.0468669
81;4.44802;0.0513849
82;4.49817;0.050137
83;4.54824;0.0500522
84;4.59689;0.0486381
85;4.64765;0.0507369
86;4.6975;0.049834
87;4.74659;0.049057
88;4.80048;0.0538661
89;4.85647;0.05597
90;4.90679;0.050302
91;4.95594;0.0490959
92;5.00457;0.0486112
93;5.05436;0.0497711
94;5.10074;0.0463681
95;5.15142;0.050662
96;5.20144;0.0499752
97;5.25345;0.0519841
98;5.30455;0.0510869
99;5.35281;0.048238
100;5.40448;0.0516241
101;5.45052;0.046015
102;5.49986;0.0493259
103;5.55207;0.0521872
104;5.60007;0.047986
105;5.65013;0.050041
106;5.69898;0.0488069
107;5.74935;0.050359
108;5.79824;0.048871
109;5.84826;0.049999
110;5.90236;0.054075
111;5.95448;0.0521011
112;6.00733;0.052829
113;6.06059;0.053241
114;6.11261;0.0520041
115;6.16304;0.050406
116;6.21006;0.0469921
117;6.26669;0.0565929
118;6.32057;0.053853
119;6.3702;0.049608
120;6.41885;0.048619
121;6.46949;0.0506191
122;6.51774;0.0482302
123;6.56531;0.0475509
124;6.61112;0.0457981
125;6.65776;0.046607
126;6.70783;0.0500531
127;6.75564;0.047797
128;6.8062;0.0505378
129;6.85673;0.0505071
130;6.90793;0.0511739
131;6.95447;0.0465209
132;7.0013;0.0468171
133;7.05045;0.0491261
134;7.09979;0.04931
135;7.14636;0.0465288
136;7.19541;0.0490301
137;7.2469;0.0514801
138;7.29373;0.0467899
139;7.34069;0.0468531
140;7.38715;0.0464509
141;7.43487;0.0476949
142;7.48346;0.0485752
143;7.53633;0.0528591
144;7.58163;0.045265
145;7.62812;0.0464652
146;7.67784;0.0496979
147;7.72829;0.0504291
148;7.77686;0.0485449
149;7.83145;0.054569
150;7.88516;0.05369
151;7.94213;0.056951
152;7.99379;0.051635
153;8.04388;0.0500798
154;8.09182;0.0479128
155;8.14042;0.0485721
156;8.19147;0.0510299
157;8.23653;0.0450289
158;8.2871;0.0505469
159;8.33252;0.045408
160;8.38017;0.0476332
161;8.42668;0.046484
162;8.4778;0.0510941
163;8.52564;0.047816
164;8.57196;0.0463011
165;8.61854;0.046566
166;8.66569;0.0471179
167;8.71474;0.0490291
168;8.76691;0.052156
169;8.82294;0.0560119
170;8.87599;0.0530162
171;8.92921;0.0531931
172;8.97901;0.0497661
173;9.03254;0.053504
174;9.08792;0.0553651
175;9.13585;0.0478871
176;9.1858;0.0498688
177;9.23552;0.0497088
178;9.28429;0.0487468
179;9.33579;0.051471
180;9.38341;0.0475791
181;9.4314;0.0479801
182;9.48083;0.0494051
183;9.53166;0.0508151
184;9.57991;0.0482309
185;9.6267;0.0467741
186;9.67759;0.050832
187;9.72715;0.0495379
188;9.77491;0.0477338
189;9.82329;0.0483499
190;9.86857;0.0452571
191;9.91455;0.0459669
192;9.95926;0.044672
193;10.0059;0.0465741
194;10.0507;0.0448689
195;10.0975;0.0467069
196;10.147;0.0495441
197;10.1961;0.049032
198;10.2462;0.0500691
199;10.2962;0.0500011
200;10.3443;0.0480001
201;10.3927;0.048445
202;10.4418;0.0490382
203;10.4896;0.0477529
204;10.5352;0.0456281
205;10.5853;0.050055
206;10.6359;0.050555
207;10.6822;0.0462651
208;10.7348;0.0526252
209;10.792;0.057117
210;10.8423;0.0503211
211;10.8916;0.0492241
212;10.9455;0.0538969
213;10.9999;0.0544291
214;11.0524;0.052475
215;11.1044;0.0519791
216;11.1545;0.0500598
217;11.2023;0.0477901
218;11.2491;0.046793
219;11.301;0.0518498
220;11.3477;0.0466239
221;11.3957;0.0479798
222;11.4413;0.0455809
223;11.4893;0.0479579
224;11.5339;0.0445731
225;11.5832;0.049319
226;11.6341;0.0508831
227;11.6863;0.0521848
228;11.7349;0.048579
229;11.7819;0.0469489
230;11.8384;0.0565038
231;11.8905;0.0520639
232;11.942;0.05145
233;11.9911;0.0491259
234;12.0443;0.053093
235;12.0957;0.0514431
236;12.1455;0.049788
237;12.193;0.047473
238;12.2371;0.0440171
239;12.2833;0.0461831
240;12.3291;0.0457711
241;12.3785;0.0493629
242;12.43;0.051553
243;12.4777;0.0476379
244;12.5311;0.0533938
245;12.5775;0.0463538
246;12.6261;0.0485609
247;12.6752;0.0490758
248;12.7207;0.045454
249;12.7704;0.0497198
250;12.8194;0.048955
251;12.8671;0.0476768
252;12.914;0.04687
253;12.9573;0.043221
254;13.0069;0.0496631
255;13.0572;0.050277
256;13.1022;0.0449281
257;13.149;0.0467451
258;13.1972;0.0481961
259;13.2454;0.0482039
260;13.2986;0.0531559
261;13.3495;0.050833
262;13.4037;0.0542531
263;13.4491;0.0453231
264;13.4989;0.049757
265;13.5494;0.050468
266;13.6016;0.052233
267;13.6499;0.0482731
268;13.7043;0.054389
269;13.7947;0.0903151
270;13.8876;0.0929351
271;13.9412;0.0535529
272;13.994;0.0526981
273;14.0476;0.0536571
274;14.1003;0.05266
275;14.1506;0.0502431
276;14.2003;0.0496271
277;14.2458;0.0454671
278;14.2903;0.0445399
279;14.3371;0.046767
280;14.3864;0.0493059
281;14.4318;0.0452888
282;14.4804;0.04864
283;14.529;0.0485921
284;14.5786;0.0495851
285;14.6245;0.0458651
286;14.6754;0.0508449
287;14.7242;0.048804
288;14.7732;0.0489221
289;14.8231;0.049895
290;14.8726;0.0495169
291;14.9189;0.046216
292;14.9714;0.0525219
293;15.0204;0.0489371
294;15.0695;0.0491362
295;15.1161;0.0465291
296;15.1698;0.053632
297;15.2248;0.0549619
298;15.2773;0.0524881
299;15.3239;0.046577
300;15.3716;0.0476501
301;15.4197;0.0481131
302;15.4693;0.0495498
303;15.5146;0.0453181
304;15.5605;0.0458119
305;15.6048;0.0443079
306;15.6522;0.047385
307;15.6999;0.0477231
308;15.7467;0.0467479
309;15.7957;0.0489302
310;15.8461;0.050379
311;15.8934;0.047236
312;15.9443;0.0509231
313;15.992;0.047714
314;16.0443;0.0522559
315;16.0912;0.0469079
316;16.136;0.0446939
317;16.1839;0.047956
318;16.2299;0.0459411
319;16.2768;0.046854
320;16.3233;0.0464482
321;16.3754;0.0520689
322;16.4244;0.048969
323;16.4705;0.0461509
324;16.5183;0.0477619
325;16.5661;0.0477641
326;16.6113;0.045172
327;16.6575;0.0461969
328;16.7059;0.0483229
329;16.7538;0.0479078
330;16.8012;0.0473731
331;16.8521;0.0508971
332;16.9016;0.049474
333;16.9501;0.0484631
334;16.9951;0.0449412
335;17.0443;0.0491881
336;17.0963;0.051939
337;17.1476;0.0513449
338;17.1996;0.051923
339;17.2468;0.047163
340;17.2983;0.05146
341;17.3456;0.047272
342;17.3908;0.0451748
343;17.4381;0.0472648
344;17.4866;0.0485251
345;17.5369;0.0502691
346;17.5844;0.0474408
347;17.6364;0.0520251
348;17.6875;0.0510721
349;17.7392;0.0516651
350;17.7888;0.04949
351;17.84;0.0512421
352;17.8872;0.0471931
353;17.9411;0.0538461
354;17.993;0.051892
355;18.0477;0.0546119
356;18.0936;0.045887
357;18.1419;0.048265
358;18.1936;0.0517089
359;18.2429;0.0492489
360;18.292;0.0490861
361;18.3392;0.0471878
362;18.3878;0.0485599
363;18.437;0.0491741
364;18.4893;0.052336
365;18.538;0.0486739
366;18.5916;0.0535691
367;18.6383;0.0467069
368;18.6887;0.0503669
369;18.7388;0.0500998
370;18.7912;0.0523548
371;18.8404;0.04916
372;18.89;0.0495222
373;18.9376;0.0476151
374;18.9837;0.046092
375;19.0298;0.046062
376;19.0791;0.049237
377;19.125;0.045867
378;19.1735;0.0484781
379;19.2252;0.0517471
380;19.2768;0.051492
381;19.3243;0.0475039
382;19.3811;0.0567782
383;19.4275;0.046329
384;19.4739;0.0464191
385;19.5254;0.0514209
386;19.5756;0.0502
387;19.6242;0.0486522
388;19.678;0.053771
389;19.7318;0.053792
390;19.823;0.0911169
391;19.9034;0.0803969
392;19.9692;0.0657799
393;20.0235;0.0542669
394;20.0718;0.0482092
395;20.1199;0.0480461
396;20.1708;0.050909
397;20.2233;0.052449
398;20.2733;0.049983
399;20.3246;0.0512841
400;20.3765;0.0518062
401;20.4253;0.048846
402;20.4706;0.045279
403;20.5149;0.044215
404;20.5611;0.0462229
405;20.6094;0.0482788
406;20.6604;0.0509169
407;20.7084;0.0480549
408;20.7532;0.044718
409;20.7999;0.046649
410;20.8498;0.049876
411;20.8996;0.0497799
412;20.956;0.0563998
413;21.0025;0.0465138
414;21.0511;0.0485499
415;21.1033;0.0521791
416;21.1529;0.0495589
417;21.203;0.050066
418;21.2524;0.049427
419;21.3021;0.0496769
420;21.3543;0.0521309
421;21.4074;0.053113
422;21.4574;0.0499909
423;21.507;0.049567
424;21.5586;0.051513
425;21.6072;0.048624
426;21.6576;0.0503309
427;21.7041;0.0465431
428;21.7747;0.0704598
429;21.8613;0.0866299
430;21.9158;0.05443
431;21.9702;0.0543201
432;22.0238;0.0535939
433;22.0751;0.05128
434;22.1231;0.0479751
435;22.17;0.0469301
436;22.2216;0.051584
437;22.2737;0.0520711
438;22.3262;0.0524621
439;22.3776;0.051343
440;22.4283;0.0506589
441;22.475;0.0467172
442;22.5242;0.04915
443;22.5735;0.049274
444;22.6213;0.047725
445;22.6731;0.051791
446;22.7258;0.0526521
447;22.7811;0.0553229
448;22.8347;0.0535412
449;22.8879;0.0532212
450;22.9395;0.0515101
451;22.9872;0.047725
452;23.0354;0.04812
453;23.0841;0.0487211
454;23.1309;0.0467501
455;23.1829;0.0519922
456;23.2343;0.0513651
457;23.2831;0.048835
458;23.3333;0.0501311
459;23.3868;0.0534971
460;23.4389;0.0520482
461;23.4894;0.050492
462;23.5398;0.0503771
463;23.5863;0.0464339
464;23.6321;0.0457969
465;23.6792;0.047096
466;23.7286;0.0492911
467;23.7784;0.0498631
468;23.8278;0.0493171
469;23.8771;0.04934
470;23.9226;0.0453911
471;23.9726;0.0499921
472;24.0196;0.0469842
473;24.0648;0.045172
474;24.1121;0.047322
475;24.1613;0.049149
476;24.2115;0.0502431
477;24.2685;0.056932
478;24.3263;0.0577688
479;24.3775;0.0512021
480;24.4287;0.0511761
481;24.4763;0.0475919
482;24.5282;0.051882
483;24.5756;0.047291
484;24.6311;0.0554991
485;24.6837;0.0525811
486;24.7327;0.0490181
487;24.7837;0.0509892
488;24.8293;0.0454681
489;24.8736;0.044281
490;24.9193;0.0457711
491;24.9703;0.0509112
492;25.0197;0.0494251
493;25.0676;0.047863
494;25.1152;0.0475581
495;25.1672;0.0520141
496;25.2161;0.048856
497;25.2592;0.0430949
498;25.3093;0.050046
499;25.3613;0.0519662
500;25.4122;0.0508521
501;25.4601;0.047919
502;25.5102;0.050108
503;25.5547;0.044394
504;25.6013;0.0465841
505;25.6481;0.0468171
506;25.6975;0.04934
507;25.7813;0.083807
508;25.8748;0.093399
509;25.9295;0.054708
510;25.9832;0.0536249
511;26.0424;0.0591969
512;26.0925;0.05002
513;26.1478;0.055295
514;26.1997;0.0518498
515;26.2548;0.0550931
516;26.312;0.05721
517;26.3666;0.0545549
518;26.4161;0.049511
519;26.469;0.052882
520;26.5219;0.0528631
521;26.5723;0.0503409
522;26.6207;0.048424
523;26.666;0.0451849
524;26.7167;0.0507209
525;26.7713;0.0545349
526;26.8208;0.049489
527;26.8702;0.0493982
528;26.9232;0.0529351
529;26.976;0.05286
530;27.0264;0.0503521
531;27.0762;0.0497329
532;27.1273;0.0510778
533;27.1777;0.050369
534;27.226;0.0483279
535;27.2763;0.050298
536;27.3227;0.046325
537;27.3716;0.048914
538;27.4213;0.0496759
539;27.4742;0.0528479
540;27.5268;0.052536
541;27.5788;0.052021
542;27.6249;0.046109
543;27.6709;0.0459001
544;27.7504;0.0795372
545;27.852;0.101593
546;27.9151;0.0630538
547;27.9714;0.0562792
548;28.0294;0.0579491
549;28.082;0.0525949
550;28.1321;0.0500679
551;28.1847;0.0525639
552;28.2375;0.0527229
553;28.2886;0.051136
554;28.3372;0.048506
555;28.3866;0.049386
556;28.4346;0.0479329
557;28.4829;0.048305
558;28.533;0.050065
559;28.5808;0.0477569
560;28.6299;0.0490892
561;28.6774;0.047518
562;28.7265;0.0490091
563;28.7757;0.049185
564;28.8244;0.0487349
565;28.872;0.047514
566;28.9176;0.0456331
567;28.9716;0.0539842
568;29.0196;0.0479729
569;29.0706;0.05092
570;29.1222;0.051615
571;29.1724;0.050107
572;29.2217;0.0492902
573;29.2693;0.0476091
574;29.3179;0.048543
575;29.369;0.0510609
576;29.4172;0.0481799
577;29.4635;0.0462768
578;29.5099;0.0464621
579;29.5564;0.046386
580;29.6036;0.0472119
581;29.6512;0.047574
582;29.7005;0.0492499
583;29.7471;0.046608
584;29.7923;0.0452302
585;29.8382;0.0458491
586;29.8885;0.050266
587;29.9373;0.0488131
588;29.9857;0.0483532
589;30.0328;0.0470779
590;30.0787;0.045861
591;30.1252;0.0464981
592;30.1725;0.0472312
593;30.2163;0.043788
594;30.2616;0.0453281
595;30.3069;0.045254
596;30.3567;0.0497708
597;30.4086;0.0518749
598;30.4625;0.053817
599;30.5157;0.0531921
600;30.5645;0.0487859
601;30.6108;0.0463002
602;30.6609;0.0500309
603;30.711;0.050107
604;30.7612;0.0501869
605;30.8067;0.045522
606;30.856;0.049232
607;30.9079;0.0518508
608;30.9593;0.0513721
609;31.0103;0.0509751
610;31.064;0.0536511
611;31.1146;0.0505531
612;31.1675;0.0529659
613;31.2192;0.0515959
614;31.2692;0.0500252
615;31.3211;0.0518589
616;31.3691;0.0479441
617;31.4156;0.0464749
618;31.4674;0.0518322
619;31.5163;0.0488062
620;31.5702;0.053947
621;31.6192;0.0489259
622;31.6725;0.0532789
623;31.7611;0.0885868
624;31.8465;0.08535
625;31.9035;0.056973
626;31.9585;0.054939
627;32.0075;0.049015
628;32.0546;0.0470231
629;32.1068;0.0522251
630;32.1569;0.05004
631;32.2042;0.0472929
632;32.2577;0.0534949
633;32.3108;0.0530109
634;32.3629;0.052074
635;32.4122;0.0492589
636;32.4596;0.047451
637;32.5069;0.0472751
638;32.5517;0.044796
